id;title;parent_id;is_opened;is_checked;is_folder
1;indigo Toys implementation;83889;true;true;true
2;Jamaican Dollar;21638;false;true;true
3;maroon Frozen;23;false;true;true
4;Money Market Account;84888;false;false;false
5;redundant deposit;28493;false;false;true
6;Applications quantify;57483;true;true;false
7;Buckinghamshire Home Loan Account;6398;true;true;true
8;solid state;90815;true;false;false
9;mobile implement Practical;63564;false;true;true
10;Automated optimize;74988;false;false;true
